Season,Episode number,Title,Airing date,File path
2,39,Curry,2017-04-19,362 Japanology Plus - Curry.mp4
2,40,Cafes,2017-05-02,363 Japanology Plus  - Cafes.mp4
2,41,Japanophiles: Yoram Ofer,2017-05-23,364 Japanology Plus - Japanophiles - Yoram Ofer.mp4
2,42,School Lunch,2017-06-06,365 Japanology Plus  - School Lunches.mp4
2,43,Capsule Toys,2017-06-20,366 Japanology Plus - Capsule Toys.mp4
2,44,Buses,2017-06-27,367 Japanology Plus - Buses.mp4
2,45,Traditional Music,2017-07-04,368 Japanology Plus - Traditional Music.mp4
2,46,Traditional Music in Modern Life,2017-07-11,369 Japanology Plus - Traditional Music in Modern Life.mp4
2,47,Japanophiles: Nsenda Lukumwena,2017-07-18,370 Japanology Plus - Japanophiles - Nsenda Lukumwena.mp4
2,48,Urban Renewal,2017-08-01,371 Japanology Plus - Urban Renewal.mp4
2,49,Fireworks,2017-08-15,372 Japanology Plus - Fireworks.mp4
2,50,Anthropomorphism,2017-08-22,373 Japanology Plus - Anthropomorphism.mp4
2,51,2D Characters: Origins and Evolution,2017-08-29,374 Japanology Plus - 2D Characters.mp4
2,52,Children and Sports,2017-09-05,375 Japanology Plus - Children and Sports.mp4
2,53,Amusement Parks,2017-09-12,376 Japanology Plus - Amusement Parks.mp4
2,54,Japanophiles: Tyler Lynch,2017-09-26,377 Japanology Plus - Japanophiles - Tyler Lynch.mp4
2,55,Particle Physics Research,2017-10-03,378 Japanology Plus - Particle Physics Research.mp4
2,56,Shrine Duties,2017-10-17,379 Japanology Plus - Shrine Duties.mp4
2,57,Special Rescue Teams,2017-10-24,380 Japanology Plus - Special Rescue Teams.mp4
2,58,The Wonders of Air Travel,2017-10-31,381 Japanology Plus - The Wonders of Air Travel.mp4
2,59,Japanophiles: Fernando Lopez,2017-11-21,382 Japanology Plus - Japanophiles - Fernando Lopez.mp4
2,60,Changing Perceptions of Cars,2017-11-28,383 Japanology Plus - Changing Perceptions of Cars.mp4
2,61,"The Way of Tea: Wellspring of Omotenashi, Part 1",2017-12-12,384 Japanology Plus - The Way of Tea Part 1.mp4
2,62,"The Way of Tea: Wellspring of Omotenashi, Part 2",2017-12-19,385 Japanology Plus - The Way of Tea Part 2.mp4
2,63,Ocean Fishing,2018-01-09,386 Japanology Plus - Ocean Fishing.mp4
2,64,The Police,2018-01-16,387 Japanology Plus - The Police.mp4
2,65,Japanophiles: Stephanie Tomiyasu,2018-01-23,388 Japanology Plus - Japanophiles - Stephanie Tomiyasu.mp4
2,66,New Trends in Logistics,2018-02-06,389 Japanology Plus - New Trends in Logistics.mp4
2,67,Game Arcades,2018-02-13,390 Japanology Plus - Game Arcades.mp4
2,68,Snow Removal,2018-02-20,391 Japanology Plus - Snow Removal.mp4
2,69,Shopping Streets,2018-03-06,392 Japanology Plus - Shopping Streets.mp4
2,70,Japanophiles: Bjorn Heiberg,2018-03-13,393 Japanology Plus - Japanophiles - Bjorn Heiberg.mp4
2,71,Regional Transport Crisis,2018-03-20,394 Japanology Plus - Regional Transport Crisis.mp4
2,72,Miniature Culture,2018-03-27,395 Japanology Plus - Miniature Culture.mp4
2,73,Marriage,2018-04-03,396 Japanology Plus - Marriage.mp4
2,74,100 Yen Shops,2018-04-10,397 Japanology Plus - 100 Yen Shops.mp4
2,75,Deep-fried Food,2018-04-17,398 Japanology Plus - Deep-fried Food.mp4
2,76,Lighthouses,2018-05-01,399 Japanology Plus - Lighthouses.mp4
