Season,Episode number,Title,Airing date,File path
3,16,Wasabi,2010-04-30,090 BEGIN Japanology - Wasabi.mp4
3,17,Women's Fashion Magazines,2010-05-14,091 BEGIN Japanology - Women's Fashion Magazines.mp4
3,18,Izakaya,2010-05-21,092 BEGIN Japanology - Izakaya.mp4
3,19,Apartments and Condominiums,2010-05-28,093 BEGIN Japanology - Apartments and Condominiums.mp4
3,20,Towns and Neighbourhoods,2010-06-11,094 BEGIN Japanology - Towns and Neigbourhoods.mp4
3,21,Tempura,2010-06-18,095 BEGIN Japanology - Tempura.mp4
3,22,Subways,2010-06-25,096 BEGIN Japanology - Subways.mp4
3,23,Hairstyles,2010-07-02,097 BEGIN Japanology - Hairstyles.mp4
3,24,Home Appliances,2010-07-09,098 BEGIN Japanology - Home Appliances.mp4
3,25,Roof Tiles,2010-07-16,099 BEGIN Japanology - Roof Tiles.mp4
3,26,Miniaturization,2010-07-23,100 BEGIN Japanology - Miniaturization.mp4
3,27,Silk,2010-08-13,101 BEGIN Japanology - Silk.mp4
3,28,Soybeans,2010-08-20,102 BEGIN Japanology - Soybeans.mp4
3,29,Curry,2010-08-25,103 BEGIN Japanology - Curry.mp4
3,30,Dams,2010-09-03,104 BEGIN Japanology - Dams.mp4
3,31,Hotels,2010-09-10,105 BEGIN Japanology - Hotels.mp4
3,32,Radio Calisthenics,2010-09-17,106 BEGIN Japanology - Radio Calisthenics.mp4
3,33,Ekiben,2010-09-24,107 BEGIN Japanology - Ekiben.mp4
3,34,Bridges,2010-10-08,108 BEGIN Japanology - Bridges.mp4
3,35,Earthquakes,2010-10-15,109 BEGIN Japanology - Earthquakes.mp4
3,36,Chrysanthemums,2010-10-22,110 BEGIN Japanology - Chrysanthemums.mp4
3,37,Cameras,2010-11-04,111 BEGIN Japanology - Cameras.mp4
3,38,Hiragana,2010-11-11,112 BEGIN Japanology - Hiragana.mp4
3,39,Udon,2010-11-18,113 BEGIN Japanology - Udon.mp4
3,40,Money,2010-11-25,114 BEGIN Japanology - Money.mp4
3,41,Nishikigoi,2010-12-02,115 BEGIN Japanology - Nishikigoi.mp4
3,42,Volcanoes,2010-12-09,116 BEGIN Japanology - Volcanoes.avi
3,43,Firefighting,2010-12-16,117 BEGIN Japanology - Firefighting.mkv
4,1,Mochi Rice Cake,2011-01-13,118 BEGIN Japanology - Mochi Rice Cake.mkv
4,2,Watches and Clocks,2011-01-20,119 BEGIN Japanology - Watches and Clocks.mkv
4,3,Fugu Blowfish,2011-01-27,120 BEGIN Japanology - Fugu Blowfish.avi
4,4,Haneda Airport,2011-02-03,121 BEGIN Japanology - Haneda Airpot.mp4
4,5,Kagura Dances,2011-02-10,122 BEGIN Japanology - Kagura Dances.mkv
4,6,Snow,2011-02-17,123 BEGIN Japanology - Snow.mkv
4,7,Pollen Allergy,2011-03-03,124 BEGIN Japanology - Pollen Allergy.mp4
4,8,Sashimono Woodwork,2011-03-10,125 BEGIN Japanology - Sashimono Woodwork.mkv
4,9,Cranes,2011-04-07,126 BEGIN Japanology - Cranes.mkv
4,10,Kitchen Knives,2011-04-14,127 BEGIN Japanology - Kitchen Knives.mkv
4,11,Fishing,2011-04-21,128 BEGIN Japanology - Fishing.mkv
4,12,Armour,2011-04-28,129 BEGIN Japanology - Armour.mkv
4,13,Judo,2011-05-05,130 BEGIN Japanology - Judo.mkv
4,14,The Life of Taro Okamoto,2011-05-12,131 BEGIN Japanology - Taro Okamoto.mkv
4,15,The Life of Osamu Dazai,2011-05-19,132 BEGIN Japanology - Osamu Dazai.mkv
4,16,The Life of Kenzo Tange,2011-05-26,133 BEGIN Japanology - Kenzo Tange.mp4
4,17,The Life of Hideko Maehata,2011-06-02,134 BEGIN Japanology - Hideko Maehata.mkv
4,18,Toilets,2011-06-09,135 BEGIN Japanology - Toilets.mkv
4,19,Lifts,2011-06-16,136 BEGIN Japanology - Lifts.mp4
4,20,Motorcycles,2011-06-23,137 BEGIN Japanology - Motorcycles.mp4
4,21,Unagi Eel,2011-06-30,138 BEGIN Japanology - Unagi Eel.mkv
4,22,Japanophiles – Ilan Yanizky,2011-07-07,139 BEGIN Japanology - Japanophiles - Ilan Yanizky.mkv
4,23,Japanophiles – Silvain Guignard,2011-07-14,140 BEGIN Japanology - Japanophiles - Silvain Guignard.mkv
4,24,Japanophiles – Stéphane Danton,2011-07-21,141 BEGIN Japanology - Japanophiles - Stephane Danton.mkv
4,25,Japanophiles – Dorothy Feibleman,2011-07-28,142 BEGIN Japanology - Japanophiles - Dorothy Feibleman.mkv
4,26,Plastic Food Samples,2011-08-18,143 BEGIN Japanology - Plastic Food Sample.mkv
4,27,Insects,2011-08-25,144 BEGIN Japanology - Insects.mkv
4,28,Traditional Japanese Mathematics,2011-09-01,145 BEGIN Japanology - Traditional Japanese Mathematics.mkv
4,29,Bicycles,2011-09-08,146 BEGIN Japanology - Bicycles.mkv
4,30,Chusonji,2011-09-15,147 BEGIN Japanology - Chusonji.mkv
4,31,Seaweed,2011-09-29,148 BEGIN Japanology - Seaweed.mkv
4,32,Charcoal,2011-10-06,149 BEGIN Japanology - Charcoal.mkv
4,33,Rain,2011-10-13,150 BEGIN Japanology - Rain.mkv
4,34,Golf,2011-10-20,151 BEGIN Japanology - Golf.mkv
4,35,Shipbuilding,2011-10-27,152 BEGIN Japanology - Shipbuilding.mkv
4,36,Japanophiles – Bruce Huebner,2011-11-03,153 BEGIN Japanology - Japanophiles - Bruce Huebner.mkv
4,37,Japanophiles – Muhō Noelke,2011-11-10,154 BEGIN Japanology - Japanophiles - Noelke Muho.mkv
